Stock Name,Sector,Percentage Invested,Money Invested,Count,Nifty Weightage,Market Cap
Cummins India Ltd.,Capital Goods,9.84,347.8814,16,,
PNC Infratech Ltd.,Construction,5.93,126.77080000000001,16,,
Jubilant FoodWorks Ltd.,Services,3.7399999999999998,230.9196,16,,
ICICI Securities Ltd.,Financial,3.93,45.1018,16,,
PI Industries Ltd.,Chemicals,8.37,556.9625000000001,16,,
Thermax Ltd.,Capital Goods,6.26,159.93480000000002,16,,
GAIL (India) Ltd.,Energy,8.530000000000001,311.9076,16,,
GMR Infrastructure Ltd.,Construction,9.46,45.6042,16,,
Mahindra & Mahindra Ltd.,Automobile,5.800000000000001,164.58450000000002,16,1.01,"1,11,204"
Aegis Logistics Ltd.,Services,6.75,56.836099999999995,16,,
Sobha Ltd.,Construction,4.74,139.4604,16,,
Orient Electric Ltd.,Consumer Discretionary,5.61,627.9009,16,,
Dixon Technologies (India) Ltd.,Capital Goods,6.6899999999999995,533.1148000000001,16,,
Vedant Fashions Ltd.,Textiles,3.1399999999999997,66.8772,16,,
Rallis India Ltd.,Chemicals,3.39,219.65829999999997,16,,
Equitas Small Finance Bank Ltd.,Financial,2.25,152.26,16,,
Apollo Hospitals Enterprise Ltd.,Healthcare,13.61,192.3118,16,0.60,"55,031"
Sona BLW Precision Forgings Ltd.,Automobile,7.72,483.59360000000004,16,,
Zomato Ltd.,Services,2.7199999999999998,56.221,16,,
Hindustan Copper Ltd.,Metals & Mining,5.27,52.329699999999995,16,,
Sun TV Network Ltd.,Services,6.129999999999999,41.7057,16,,
Kajaria Ceramics Ltd.,Materials,7.66,276.8522,16,,
Angel Broking Ltd.,Financial,7.1,192.63209999999998,16,,
Bajaj Finserv Ltd.,Financial,8.23,92.3687,16,1.35,"2,17,119"
Page Industries Ltd.,Textiles,4.59,452.45760000000007,16,,
Motherson Sumi Systems Ltd.,Automobile,2.06,144.7344,16,,
Phoenix Mills Ltd.,Construction,4.65,153.72209999999998,16,,
Oracle Financial Services Software Ltd.,Technology,6.17,66.7576,16,,
Gokaldas Exports Ltd.,Textiles,4.11,238.6365,16,,
Rolex Rings Ltd.,Capital Goods,4.45,143.1499,16,,
Timken India Ltd.,Capital Goods,7.459999999999999,414.7654,16,,
Birla Corporation Ltd.,Materials,5.8,415.33279999999996,16,,
Prestige Estates Projects Ltd.,Construction,3.35,91.0411,16,,
Krishna Institute Of Medical Sciences Ltd.,Healthcare,7.27,473.59899999999993,16,,
Tech Mahindra Ltd.,Technology,7.49,305.5404,16,1.22,"1,25,527"
Greenply Industries Ltd.,Materials,3.9300000000000006,213.1895,16,,
Indiabulls Real Estate Ltd.,Construction,3.38,66.5682,16,,
KPR Mills Ltd.,Textiles,6.07,412.1544,16,,
Indian Bank,Financial,3.69,111.0787,9,,
Tata Global Beverages Ltd.,Consumer Staples,4.3100000000000005,286.7752,9,,
Federal Bank Ltd.,Financial,8.65,302.0169,9,,
Equitas Micro Finance India Pvt Ltd.,Financial,3.51,112.1912,9,,
Siemens Ltd.,Capital Goods,5.43,119.8424,9,,
KEC International Ltd.,Capital Goods,3.43,76.5108,9,,
Tarsons Products Ltd.,Healthcare,4.16,83.7942,9,,
Hero Motocorp Ltd.,Automobile,4.49,60.25309999999999,9,,
Indusind Bank Ltd.,Financial,6.66,112.30050000000001,9,0.80,"71,011"
Info Edge (India) Ltd.,Services,6.18,351.89730000000003,9,,
Havells India Ltd.,Capital Goods,3.7,532.2009999999999,9,,
Hindustan Aeronautics Ltd.,Capital Goods,3.48,178.29860000000002,9,,
Happiest Minds Technologies Ltd.,Technology,3.63,62.4233,9,,
Hindustan Petroleum Corpn. Ltd.,Energy,2.24,120.0596,9,,
Gujarat Gas Ltd.,Energy,4.79,234.7013,9,,
Grindwell Norton Ltd.,Metals & Mining,4.61,164.93480000000002,9,,
Security and Intelligence Services (India) Ltd.,Services,2.08,183.884,9,,
JB Chemicals & Pharmaceuticals Ltd.,Healthcare,5.27,163.3983,9,,
JK Cement Ltd,Materials,4.77,693.0013999999999,9,,
Godrej Consumer Products Ltd.,Consumer Staples,2.79,188.82479999999998,9,,
Gateway Distriparks Ltd.,Services,2.64,292.8146,9,,
Galaxy Surfactants Ltd.,Chemicals,4.75,357.73380000000003,9,,
Sumitomo Chemical India Pvt. Ltd.,Chemicals,4.32,101.44039999999998,9,,
Shree Cement Ltd.,Materials,4.539999999999999,203.7158,9,0.42,"86,467"
Computer Age Management Services Ltd.,Services,5.74,114.78970000000001,9,,
Indiabulls Housing Finance Ltd.,Financial,3.25,48.7828,9,,
Balrampur Chini Mills Ltd.,Consumer Staples,5.73,587.2098,9,,
Oberoi Realty Ltd.,Construction,3.3,138.5637,9,,
Prince Pipes & Fittings Ltd.,Materials,2.82,275.08140000000003,9,,
UPL Ltd.,Chemicals,4.81,123.58529999999999,9,0.56,"59,301"
Canara Bank,Financial,1.37,17.553299999999997,9,,
Britannia Industries Ltd.,Consumer Staples,4.029999999999999,304.84929999999997,9,0.50,"79,732"
Nifty 50,Others,9.29,347.4895,9,,
Vinati Organics Ltd.,Chemicals,4.89,536.4524999999999,9,,
Medplus Health Services Ltd.,Healthcare,2.3000000000000003,65.6614,9,,
Metropolis Healthcare Ltd.,Healthcare,3.38,102.4282,9,,
Biocon Ltd.,Healthcare,2.5,99.2684,9,,
MindTree Ltd.,Technology,8.629999999999999,247.73629999999997,9,,
Bharat Forge Ltd.,Automobile,3.9099999999999997,222.40120000000002,9,,
Schaeffler India Ltd.,Capital Goods,5.81,245.56680000000003,9,,
Balkrishna Industries Ltd.,Automobile,4.17,629.1139000000001,9,,
V-Guard Industries Ltd.,Consumer Discretionary,3.9299999999999997,233.16939999999997,9,,
VIP Industries Ltd.,Materials,4.64,322.7348,9,,
Natco Pharma Ltd.,Healthcare,4.54,229.52599999999998,9,,
VRL Logistics Ltd.,Services,6.59,85.3462,9,,
Multi Commodity Exchange India,Services,4.08,224.1933,9,,
Asian Paints Ltd.,Materials,4.41,225.7771,9,1.82,"2,89,352"
NIIT Technologies Ltd.,Technology,5.1000000000000005,330.76390000000004,9,,
Muthoot Finance Ltd.,Financial,4.5600000000000005,290.2876,9,,
Atul Ltd.,Chemicals,2.54,385.71039999999994,9,,
Carborundum Universal Ltd.,Metals & Mining,6.78,607.7939000000001,9,,
Catholic Syrian Bank Ltd.,Financial,3.11,40.4543,9,,
Crisil Ltd.,Services,6.119999999999999,70.5063,9,,
Eicher Motors Ltd.,Automobile,4.25,190.39940000000004,9,0.45,"64,548"
PVR Ltd.,Services,2.63,65.90960000000001,9,,
AU Small Finance Bank Ltd.,Financial,2.15,118.223,9,,
Zee Entertainment Enterprises Ltd.,Services,5.720000000000001,200.85139999999998,9,,
Aditya Birla Fashion and Retail Ltd.,Services,4.51,255.58540000000002,9,,
PB Fintech Ltd.,Services,2.01,22.044400000000003,9,,
