Stock Name,Sector,Percentage Invested,Money Invested,Count,Nifty Weightage,Market Cap
Glaxosmithkline Pharmaceuticals Ltd.,Healthcare,1.12,54.73440000000001,1,,
Garware-Wall Ropes Ltd.,Textiles,1.59,115.05239999999999,1,,
Fortive Corporation,Capital Goods,0.55,39.87500000000001,1,,
Fineotex Chemical Ltd.,Chemicals,0.64,122.96960000000001,1,,
Edwards Lifesciences Corp,Healthcare,0.68,49.3,1,,
Facebook Co,Services,0.65,47.125,1,,
FDC Ltd.,Healthcare,0.59,113.3626,1,,
Exxaro Tiles Ltd.,Materials,0.48,10.1136,1,,
Essel Propack Ltd.,Materials,1.06,24.846400000000003,1,,
Embassy Office Parks REIT,Construction,4.53,55.71900000000001,1,,
Electrosteel Castings Ltd.,Metals & Mining,0.19,36.5066,1,,
Elantas Beck India Ltd.,Chemicals,0.71,136.4194,1,,
Capacite Infraprojects Ltd.,Construction,0.1,19.214000000000002,1,,
Brigade Enterprises Ltd.,Construction,0.41,78.7774,1,,
Petronet LNG Ltd.,Energy,2.36,29.028,1,,
Adobe Systems Inc. (USA),Technology,0.61,44.225,1,,
Anthem Inc.,Healthcare,0.82,59.45,1,,
Amulya Leasing & Finance Ltd.,Materials,0.97,70.1892,1,,
American Express Company,Financial,0.79,57.275,1,,
Amazon. com Inc. (USA),Services,1.14,82.65,1,,
Alphabet Inc Class A,Services,1.22,88.45,1,,
Alibaba Group Holdings Ltd.,Services,0.02,1.45,1,,
Alembic Pharmaceuticals Ltd.,Healthcare,1.17,84.6612,1,,
Aditya Birla Sun Life AMC Ltd.,Financial,1.03,10.660499999999999,1,,
Apar Industries Ltd.,Diversified,0.44,84.5416,1,,
Adi Finechem Ltd.,Chemicals,0.93,67.425,1,,
Adani Wilmar Ltd.,Consumer Staples,0.61,117.2054,1,,
Abbott India Ltd.,Healthcare,0.2,13.294,1,,
Aarti Industries Ltd.,Chemicals,1.92,93.8304,1,,
AIA Group (Hongkong),Financial,0.53,38.425,1,,
AIA Engineering Ltd.,Metals & Mining,1.11,4.750800000000001,1,,
AGS Transact Technologies Ltd.,Services,0.1,19.214000000000002,1,,
Anupam Rasayan India Ltd.,Chemicals,0.11,1.2826,1,,
Apex Frozen Foods Ltd.,Consumer Staples,0.24,46.1136,1,,
Bosch Ltd.,Automobile,0.69,29.042099999999994,1,,
BASF India Ltd.,Chemicals,0.75,36.6525,1,,
Booking Holdings Inc,Services,0.7,50.75,1,,
Bharat Rasayan Ltd.,Chemicals,1.6,78.19200000000001,1,,
Barbeque-Nation Hospitality Ltd.,Services,0.21,15.195599999999999,1,,
Bajaj Electricals Ltd.,Consumer Discretionary,1.71,328.55940000000004,1,,
Bajaj Corp Ltd.,Consumer Staples,0.44,84.5416,1,,
BSE Ltd.,Financial,1.35,31.644000000000002,1,,
BEML Ltd.,Capital Goods,1.41,102.0276,1,,
Avanti Feeds Ltd.,Consumer Staples,0.12,23.0568,1,,
Apollo Tyres Ltd.,Automobile,1.09,13.407,1,,
Autozone Inc,Services,0.71,51.475,1,,
Astrazeneca Pharma India Ltd.,Healthcare,0.32,61.48480000000001,1,,
Astral Poly Technik Ltd.,Materials,3.71,268.975,1,,
Astra Zeneca,Healthcare,0.87,63.075,1,,
Aster DM Healthcare Ltd.,Healthcare,0.12,23.0568,1,,
Ashoka Buildcon Ltd.,Construction,0.24,46.1136,1,,
Asahi India Glass Ltd.,Materials,0.29,55.7206,1,,
Greenpanel Industries Ltd.,Materials,2.12,49.692800000000005,1,,
Gulf Oil Lubricants India Ltd.,Chemicals,0.14,3.2816,1,,
HDFC Asset Management Company Ltd.,Financial,0.52,5.382000000000001,1,,
Mazagon Dock Shipbuilders Ltd.,Capital Goods,0.28,11.785200000000001,1,,
Minda Industries Ltd.,Automobile,0.57,27.8559,1,,
Minda Corporation Ltd.,Automobile,0.19,7.9971000000000005,1,,
Microsoft Corportion (US),Technology,1.39,100.775,1,,
Metro Brands Ltd.,Consumer Discretionary,2.6,26.91,1,,
Merck Ltd.,Healthcare,0.44,84.5416,1,,
Merck & Co Inc (US),Healthcare,0.78,56.55,1,,
MediaTek (Taiwan),Capital Goods,0.91,11.193,1,,
Manappuram Finance Ltd.,Financial,2.45,77.8365,1,,
NIIT Ltd.,Technology,3.28,630.2192,1,,
Man Infraconstruction Ltd.,Construction,1.78,9.2738,1,,
MakeMy Trip Ltd.,Services,0.37,7.7885,1,,
Mahindra CIE Automotive Ltd.,Metals & Mining,0.43,82.62020000000001,1,,
Magma Fincorp Ltd.,Financial,1.99,382.3586,1,,
Lowe S Companies Inc (USA),Consumer Discretionary,0.59,42.775,1,,
Lemon Tree Hotels Ltd.,Services,0.65,13.6825,1,,
Laxmi Organic Industries Ltd.,Chemicals,1.43,103.4748,1,,
Mold-Tek Packaging Ltd.,Materials,1.53,35.8632,1,,
NMDC Ltd.,Metals & Mining,2.39,100.5951,1,,
HEG Ltd.,Capital Goods,1.47,60.0201,1,,
Oil India Ltd.,Energy,1.72,6.209199999999999,1,,
Paras Defence And Space Technologies Ltd.,Capital Goods,0.16,30.742400000000004,1,,
PTC India Ltd.,Energy,0.08,15.371200000000002,1,,
Others,Others,0.05,2.1045000000000003,1,,
Oriental Hotels Ltd.,Services,0.5,10.525,1,,
Orient Refractories Limited,Capital Goods,2.31,54.1464,1,,
Orient Paper & Inds. Ltd.,Consumer Staples,0.17,32.6638,1,,
Orient Cement Ltd.,Materials,0.37,71.0918,1,,
Odisha Cement Ltd.,Materials,3.37,164.69190000000003,1,,
NOCIL Ltd.,Materials,1.52,35.6288,1,,
Novatek Microelectronics Corporation (Taiwan),Capital Goods,1.71,21.033,1,,
Nilkamal Ltd.,Materials,1.6,115.77600000000001,1,,
NetFlix Inc. (USA),Services,0.77,32.4093,1,,
Nestle S. A (Switzerland),Consumer Staples,0.78,56.55,1,,
Nestle India Ltd.,Consumer Staples,2.04,6.466800000000001,1,0.81,"1,63,926"
Neogen Chemicals Ltd.,Chemicals,2.43,102.27870000000001,1,,
Navkar Corporation Ltd.,Services,0.13,24.9782,1,,
Larsen & Toubro Infotech Ltd.,Technology,2.9,118.40699999999998,1,,
LIC Housing Finance Ltd.,Financial,0.57,18.1089,1,,
LG Balakrishnan & Bros. Ltd.,Automobile,0.26,49.9564,1,,
ICRA Ltd.,Services,1.35,31.644000000000002,1,,
Indigo Paints Ltd.,Materials,1.4,14.49,1,,
Indian Railway Finance Corpn. Ltd.,Financial,0.66,29.0004,1,,
Indian Oil Corpn. Ltd.,Energy,1.64,20.171999999999997,1,,
India Pesticides Ltd.,Chemicals,0.77,16.2239,1,,
India Glycols Ltd.,Chemicals,1.48,72.3276,1,,
ISGEC Heavy Engineering Ltd.,Capital Goods,0.49,94.1486,1,,
INOX Leisure Ltd.,Services,1.69,35.5745,1,,
ICICI Prudential Life Insurance Company Ltd.,Insurance,1.17,49.2453,1,,
Krsnaa Diagnostics Ltd.,Healthcare,0.42,4.3469999999999995,1,,
Honda Siel Power Products Ltd.,Capital Goods,0.55,105.677,1,,
Hindustan Oil Exploration Co. Ltd.,Energy,0.6,43.416,1,,
Himatsingka Seide Ltd.,Textiles,0.26,3.0316,1,,
Heritage Foods Ltd.,Consumer Staples,0.34,24.602400000000003,1,,
Healthcare Global Enterprises Ltd.,Healthcare,0.68,14.314,1,,
Hawkins Cookers Ltd.,Consumer Discretionary,1.25,90.45,1,,
Hathway Cable & Datacom Ltd.,Communication,0.29,12.7426,1,,
Indoco Remedies Ltd.,Healthcare,0.54,103.75560000000002,1,,
Ingersoll Rand India Ltd.,Capital Goods,0.87,36.6183,1,,
Inox Flurochemicals Ltd.,Chemicals,1.17,47.7711,1,,
International Paper APPM Ltd.,Consumer Staples,0.7,29.462999999999997,1,,
Kolte Patil Developers Ltd.,Construction,0.8,39.096000000000004,1,,
Kirloskar Brothers Ltd.,Capital Goods,0.63,121.0482,1,,
Kewal Kiran Clothing Ltd.,Textiles,0.24,17.3664,1,,
Karur Vysya Bank Ltd.,Financial,0.45,86.46300000000001,1,,
Kansai Nerolac Paints Ltd.,Materials,0.48,105.27359999999999,1,,
KPIT Technologies Ltd.,Technology,0.74,142.1836,1,,
Jyothy Laboratories Ltd.,Consumer Staples,0.7,134.498,1,,
Jindal Steel & Power Ltd.,Metals & Mining,1.08,47.455200000000005,1,,
Jash Engineering Ltd.,Capital Goods,1.29,2.5542000000000002,1,,
Jamna Auto Inds. Ltd.,Automobile,2.92,12.4976,1,,
JSW Steel Ltd.,Metals & Mining,1.99,6.3083,1,0.93,"1,66,945"
JP Morgan Chase & Co. (US),Financial,0.72,52.2,1,,
JM Financial Ltd.,Financial,0.42,18.4548,1,,
JK Lakshmi Cement Ltd.,Materials,0.1,19.214000000000002,1,,
Ion Exchange (India) Ltd.,Capital Goods,0.54,103.75560000000002,1,,
eClerx Services Ltd.,Services,1.42,272.8388,1,,
